Date:	9/24/2020
Time:	2:28 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:28:03.990  	13.854	73.61	16.3	0.27	-0.91	0.25	-0.056	Normal	
20200924 14:28:04.091  	13.907	73.75	16.3	0.27	-0.90	0.26	-0.056	Normal	
20200924 14:28:04.224  	13.913	73.77	16.3	0.31	-0.90	0.29	-0.056	Normal	
20200924 14:28:04.324  	13.972	73.93	16.3	0.32	-0.90	0.32	-0.056	Normal	
20200924 14:28:04.457  	14.141	74.37	16.5	0.34	-0.88	0.35	-0.055	Normal	
20200924 14:28:04.558  	14.258	74.68	16.6	0.36	-0.88	0.36	-0.055	Normal	
20200924 14:28:04.690  	14.421	75.11	16.9	0.37	-0.90	0.38	-0.056	Normal	
20200924 14:28:04.793  	14.466	75.22	17.0	0.37	-0.92	0.38	-0.056	Normal	
20200924 14:28:04.892  	14.575	75.50	17.1	0.39	-0.94	0.38	-0.056	Normal	
20200924 14:28:05.024  	14.645	75.69	17.1	0.39	-0.96	0.38	-0.056	Normal	
20200924 14:28:05.124  	14.672	75.76	17.1	0.39	-0.96	0.40	-0.056	Normal	
20200924 14:28:05.223  	14.662	75.73	17.1	0.39	-0.96	0.43	-0.056	Normal	
20200924 14:28:05.326  	14.677	75.77	17.1	0.35	-0.94	0.37	-0.056	Normal	
20200924 14:28:05.427  	14.670	75.75	17.1	0.40	-0.91	0.40	-0.056	Normal	
20200924 14:28:05.559  	14.712	75.86	17.3	0.43	-0.91	0.43	-0.056	Normal	
20200924 14:28:05.660  	14.779	76.03	17.4	0.44	-0.93	0.43	-0.056	Normal	
20200924 14:28:05.760  	14.890	76.32	17.4	0.43	-0.97	0.46	-0.056	Normal	
20200924 14:28:05.891  	14.923	76.40	17.5	0.45	-0.97	0.46	-0.055	Normal	
20200924 14:28:05.991  	14.982	76.55	17.5	0.44	-0.97	0.46	-0.055	Normal	
20200924 14:28:06.092  	15.117	76.90	17.6	0.42	-0.96	0.40	-0.056	Normal	
20200924 14:28:06.191  	15.162	77.01	17.7	0.42	-0.96	0.40	-0.056	Normal	
20200924 14:28:06.292  	15.188	77.08	17.7	0.44	-0.94	0.43	-0.056	Normal	
20200924 14:28:06.393  	15.220	77.16	18.0	0.44	-0.96	0.46	-0.055	Normal	
20200924 14:28:06.495  	15.287	77.33	18.0	0.50	-0.97	0.54	-0.055	Normal	
20200924 14:28:06.626  	15.366	77.53	18.0	0.54	-0.97	0.60	-0.055	Normal	
20200924 14:28:06.725  	15.368	77.53	18.0	0.55	-0.96	0.60	-0.055	Normal	
20200924 14:28:06.827  	15.345	77.47	18.0	0.57	-0.96	0.61	-0.055	Normal	
20200924 14:28:06.960  	15.407	77.63	18.0	0.58	-0.97	0.63	-0.054	Normal	
20200924 14:28:07.090  	15.434	77.70	18.0	0.58	-0.96	0.61	-0.055	Normal	
20200924 14:28:07.190  	15.461	77.77	18.0	0.59	-0.95	0.61	-0.055	Normal	
20200924 14:28:07.291  	15.487	77.83	18.0	0.60	-0.95	0.64	-0.055	Normal	
20200924 14:28:07.394  	15.544	77.97	18.0	0.59	-0.96	0.61	-0.055	Normal	
20200924 14:28:07.493  	15.576	78.05	18.0	0.60	-0.96	0.64	-0.055	Normal	
20200924 14:28:07.625  	15.658	78.26	18.0	0.60	-0.98	0.65	-0.055	Normal	
20200924 14:28:07.724  	15.696	78.35	18.0	0.61	-0.99	0.67	-0.055	Normal	
20200924 14:28:07.826  	15.723	78.42	18.0	0.63	-0.99	0.67	-0.055	Normal	
20200924 14:28:07.928  	15.759	78.51	18.0	0.63	-0.95	0.67	-0.054	Normal	
20200924 14:28:08.029  	15.795	78.60	18.0	0.57	-0.96	0.62	-0.054	Normal	
20200924 14:28:08.130  	15.805	78.63	18.0	0.55	-0.96	0.59	-0.054	Normal	
