Date:	9/24/2020
Time:	2:38 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:38:37.037  	7.970	55.83	-2.0	0.06	0.21	0.08	-0.076	Normal	
20200924 14:38:37.170  	8.124	56.37	-2.0	0.06	0.22	0.08	-0.075	Normal	
20200924 14:38:37.269  	8.269	56.87	-2.0	0.06	0.22	0.08	-0.075	Normal	
20200924 14:38:37.369  	8.398	57.31	-2.0	0.07	0.22	0.08	-0.075	Normal	
20200924 14:38:37.502  	8.571	57.90	-2.0	0.07	0.22	0.09	-0.076	Normal	
20200924 14:38:37.603  	8.673	58.24	-2.0	0.07	0.22	0.09	-0.076	Normal	
20200924 14:38:37.703  	8.763	58.54	-2.0	0.06	0.22	0.08	-0.076	Normal	
20200924 14:38:37.836  	8.875	58.92	-2.0	0.06	0.22	0.08	-0.076	Normal	
20200924 14:38:37.936  	8.945	59.15	-2.0	0.06	0.22	0.08	-0.076	Normal	
20200924 14:38:38.036  	9.024	59.41	-2.0	0.06	0.22	0.08	-0.076	Normal	
20200924 14:38:38.137  	9.102	59.67	-2.0	0.06	0.23	0.08	-0.076	Normal	
20200924 14:38:38.238  	9.211	60.02	-2.0	0.06	0.24	0.08	-0.076	Normal	
20200924 14:38:38.370  	9.346	60.46	-2.0	0.06	0.25	0.08	-0.076	Normal	
20200924 14:38:38.470  	9.483	60.90	-2.0	0.07	0.25	0.08	-0.076	Normal	
20200924 14:38:38.603  	9.653	61.45	-2.0	0.07	0.25	0.08	-0.076	Normal	
20200924 14:38:38.703  	9.782	61.86	-2.0	0.07	0.25	0.08	-0.076	Normal	
20200924 14:38:38.803  	9.926	62.31	-2.0	0.07	0.25	0.09	-0.076	Normal	
20200924 14:38:38.903  	10.099	62.85	-2.0	0.08	0.25	0.09	-0.076	Normal	
20200924 14:38:39.003  	10.273	63.39	-2.0	0.08	0.25	0.09	-0.076	Normal	
20200924 14:38:39.104  	10.444	63.91	-2.0	0.08	0.25	0.09	-0.076	Normal	
