Date:	9/24/2020
Time:	2:23 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:22:50.227  	6.364	49.89	11.0	0.07	-0.23	0.05	-0.044	Normal	
20200924 14:22:50.359  	6.356	49.86	11.0	0.07	-0.23	0.06	-0.044	Normal	
20200924 14:22:50.492  	6.374	49.93	11.1	0.07	-0.22	0.06	-0.044	Normal	
20200924 14:22:50.626  	6.381	49.96	11.3	0.08	-0.22	0.07	-0.044	Normal	
20200924 14:22:50.728  	6.387	49.98	11.3	0.08	-0.22	0.07	-0.044	Normal	
20200924 14:22:50.860  	6.426	50.14	11.3	0.08	-0.22	0.07	-0.044	Normal	
20200924 14:22:50.958  	6.453	50.24	11.3	0.08	-0.22	0.08	-0.044	Normal	
20200924 14:22:51.060  	6.459	50.26	11.3	0.09	-0.22	0.08	-0.044	Normal	
20200924 14:22:51.159  	6.466	50.29	11.4	0.09	-0.22	0.08	-0.044	Normal	
20200924 14:22:51.292  	6.473	50.32	11.4	0.09	-0.23	0.08	-0.044	Normal	
20200924 14:22:51.394  	6.484	50.36	11.7	0.09	-0.23	0.08	-0.044	Normal	
20200924 14:22:51.493  	6.473	50.32	11.7	0.09	-0.23	0.08	-0.044	Normal	
20200924 14:22:51.596  	6.452	50.24	11.8	0.09	-0.24	0.08	-0.044	Normal	
20200924 14:22:51.727  	6.454	50.24	12.1	0.09	-0.24	0.08	-0.044	Normal	
20200924 14:22:51.828  	6.449	50.23	12.2	0.09	-0.24	0.08	-0.044	Normal	
20200924 14:22:51.928  	6.463	50.28	12.3	0.09	-0.24	0.08	-0.044	Normal	
20200924 14:22:52.059  	6.490	50.39	12.3	0.10	-0.24	0.08	-0.044	Normal	
20200924 14:22:52.161  	6.500	50.42	12.3	0.10	-0.25	0.09	-0.044	Normal	
20200924 14:22:52.259  	6.517	50.49	12.3	0.10	-0.25	0.09	-0.044	Normal	
20200924 14:22:52.360  	6.512	50.47	12.3	0.10	-0.25	0.08	-0.044	Normal	
20200924 14:22:52.461  	6.517	50.49	12.4	0.10	-0.26	0.08	-0.044	Normal	
20200924 14:22:52.593  	6.492	50.39	12.6	0.10	-0.26	0.08	-0.045	Normal	
20200924 14:22:52.694  	6.454	50.24	12.7	0.09	-0.27	0.08	-0.045	Normal	
20200924 14:22:52.793  	6.408	50.06	13.0	0.09	-0.28	0.08	-0.045	Normal	
20200924 14:22:52.895  	6.351	49.84	13.0	0.09	-0.29	0.08	-0.045	Normal	
20200924 14:22:52.995  	6.272	49.53	13.2	0.09	-0.30	0.07	-0.045	Normal	
20200924 14:22:53.128  	6.162	49.09	13.4	0.08	-0.32	0.06	-0.044	Normal	
20200924 14:22:53.259  	6.062	48.70	13.4	0.07	-0.34	0.06	-0.044	Normal	
